A009;Choléra, sans précision
H201;Iridocyclite chronique
H202;Iridocyclite due aux lentilles de contact
H208;Autres iridocyclites
H209;Iridocyclite, sans précision
H210;Hyphéma
H211;Autres affections vasculaires de l'iris et du corps ciliaire
H212;Affections dégénératives de l'iris et du corps ciliaire
H213;Kystes de l'iris, du corps ciliaire et de la chambre antérieure de l'oil
H214;Membranes pupillaires
H215;Autres adhérences et perturbations de l'iris et du corps ciliaire
H218;Autres affections précisées de l'iris et du corps ciliaire
H219;Affection de l'iris et du corps ciliaire, sans précision
H220;Iridocyclite au cours de maladies infectieuses et parasitaires classées ailleurs
H221;Iridocyclite au cours d'autres maladies classées ailleurs
H228;Autres affections de l'iris et du corps ciliaire au cours de maladies classées ailleurs
H250;Cataracte incipiente sénile
H251;Cataracte sénile nucléaire
H252;Cataracte sénile, de type Morgagni
H258;Autres cataractes séniles
H259;Cataracte sénile, sans précision
H260;Cataracte infantile, juvénile et présénile
H261;Cataracte traumatique
H262;Cataracte compliquée
H263;Cataracte médicamenteuse
H264;Séquelles de cataracte
H268;Autres cataractes précisées
H269;Cataracte, sans précision
H270;Aphakie
H271;Luxation du cristallin
H278;Autres affections précisées du cristallin
H279;Affection du cristallin, sans précision
H280;Cataracte diabétique (E10-E14 avec le quatrième chiffre .3)
H281;Cataracte au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques
H282;Cataracte au cours d'autres maladies classées ailleurs
H288;Autres affections du cristallin au cours de maladies classées ailleurs
H300;Choriorétinite en foyer
H301;Choriorétinite disséminée
H302;Cyclite postérieure
H308;Autres choriorétinites
H309;Choriorétinite, sans précision
H310;Cicatrices choriorétiniennes
H311;Dégénérescence choroïdienne
H312;Dystrophie héréditaire de la choroïde
H313;Hémorragie et rupture de la choroïde
H314;Décollement de la choroïde
H318;Autres affections précisées de la choroïde
H319;Affection de la choroïde, sans précision
H320;Affections choriorétiniennes au cours de maladies infectieuses et parasitaires classées ailleurs
H3200;Rétinite à cytomégalovirus (B25.8)
H3201;Rétinite à toxoplasma (B58.0)
H3208;Affections choriorétiniennes au cours d'autres maladies infectieuses et parasitaires classées ailleurs
H328;Autres affections choriorétiniennes au cours de maladies classées ailleurs
H330;Décollement de la rétine avec déchirure rétinienne
H331;Rétinoschisis et kystes rétiniens
H332;Décollement (séreux) de la rétine
H333;Déchirures rétiniennes sans décollement
H334;Décollement par traction de la rétine
H335;Autres décollements rétiniens
H340;Occlusion transitoire de l'artère de la rétine
H341;Occlusion de l'artère centrale de la rétine
H342;Autres occlusions de l'artère de la rétine
H348;Autres occlusions vasculaires rétiniennes
H349;Occlusion vasculaire rétinienne, sans précision
H350;Autres rétinopathies et altérations vasculaires rétiniennes
H351;Rétinopathie de la prématurité
H352;Autres rétinopathies proliférantes
H353;Dégénérescence de la macula et du pôle postérieur
H354;Dégénérescence rétinienne (périphérique)
H355;Dystrophie rétinienne héréditaire
H356;Hémorragie rétinienne
H357;Décollement des couches de la rétine
H358;Autres affections rétiniennes précisées
H359;Affection rétinienne, sans précision
H360;Rétinopathie diabétique (E10-E14 avec la quatrième chiffre .3)
H368;Autres affections rétiniennes au cours de maladies classées ailleurs
H400;Glaucome limite
H401;Glaucome (primitif) à angle ouvert
H402;Glaucome (primitif) à angle étroit
H403;Glaucome secondaire à un traumatisme oculaire
H404;Glaucome secondaire à une inflammation de l'oil
H405;Glaucome secondaire à d'autres affections oculaires
H406;Glaucome médicamenteux
H408;Autres glaucomes
H409;Glaucome, sans précision
H420;Glaucome au cours de maladies endocriniennes, nutritionnelles et métaboliques
H428;Glaucome au cours d'autres maladies classées ailleurs
H430;Prolapsus du corps vitré
H431;Hémorragie du corps vitré
H432;Opacités cristallines du corps vitré
H433;Autres opacités du corps vitré
H438;Autres affections du corps vitré
H439;Affection du corps vitré, sans précision
H440;Endophtalmie purulente
H441;Autres endophtalmies
H442;Myopie dégénérative
H443;Autres affections dégénératives du globe oculaire
H444;Hypotonie de l'oil
H445;Dégénérescence du globe oculaire
H446;Rétention (ancienne) intraoculaire de corps étranger magnétique
H447;Rétention (ancienne) intraoculaire de corps étranger non magnétique
H448;Autres affections du globe oculaire
H449;Affection du globe oculaire, sans précision
H450;Hémorragie du corps vitré au cours de maladies classées ailleurs
H451;Endophtalmie au cours de maladies classées ailleurs
H458;Autres affections du corps vitré et du globe oculaire au cours de maladies classées ailleurs
H46;Névrite optique
H470;Affections du nerf optique, non classées ailleurs
H471;Oedème papillaire, sans précision
H472;Atrophie optique
H473;Autres affections de la papille optique
H474;Affections du chiasma optique
H475;Affections des autres voies optiques
H476;Affections du cortex visuel
H477;Affection des voies optiques, sans précision
H480;Atrophie optique au cours de maladies classées ailleurs
H481;Névrite rétrobulbaire au cours de maladies classées ailleurs
H488;Autres affections du nerf et des voies optiques au cours de maladies classées ailleurs
H490;Paralysie du nerf moteur oculaire commun (III)
H491;Paralysie du nerf pathétique (IV)
H492;Paralysie du nerf moteur oculaire externe (VI)
H493;Ophtalmoplégie totale (externe)
H494;Ophtalmoplégie externe progressive
H498;Autres strabismes paralytiques
H499;Strabisme paralytique, sans précision
H500;Strabisme convergent concomitant
H501;Strabisme divergent concomitant
H502;Strabisme vertical
H503;Hétérotropie intermittente
H504;Hétérotropies, autres et sans précision
H505;Hétérophorie
H506;Strabisme mécanique
H508;Autres strabismes précisés
H509;Strabisme, sans précision
H510;Paralysie de la conjugaison du regard
H511;Excès et insuffisance de convergence
H512;Ophtalmoplégie internucléaire
H518;Autres anomalies précisées des mouvements binoculaires
H519;Anomalie des mouvements binoculaires, sans précision
H520;Hypermétropie
H521;Myopie
H522;Astigmatisme
H523;Anisométrie et aniséiconie
H524;Presbytie
H525;Troubles de l'accommodation
H526;Autres vices de réfraction
H527;Vice de réfraction, sans précision
H530;Amblyopie ex anopsia
H531;Troubles subjectifs de la vision
H532;Diplopie
H533;Autres troubles de la vision binoculaire
H534;Anomalies du champ visuel
H535;Troubles de la vision des couleurs
H536;Cécité nocturne
H538;Autres troubles de la vision
H539;Trouble de la vision, sans précision
H540;Cécité des deux yeux
H541;Cécité d'un oil, baisse de vision de l'autre oil
H542;Baisse de vision des deux yeux
H543;Perte de vision non précisée des deux yeux
H544;Cécité d'un oil
H545;Baisse de vision d'un oil
H546;Perte de vision non précisée d'un oil
H547;Perte de vision, sans précision
H55;Nystagmus et autres anomalies des mouvements oculaires
H570;Anomalies fonctionnelles de la pupille
H571;Douleur oculaire
H578;Autres affections précisées de l'oil et de ses annexes
H579;Affection de l'oil et de ses annexes, sans précision
H580;Anomalies fonctionnelles de la pupille au cours de maladies classées ailleurs
H581;Troubles de la vue au cours de maladies classées ailleurs
H588;Autres affections précisées de l'oil et de ses annexes au cours de maladies classées ailleurs
H590;Syndrome du corps vitré après intervention pour cataracte
H598;Autres affections de l'oil et de ses annexes après un acte à visée diagnostique et thérapeutique
H599;Affection de l'oil et de ses annexes après un acte à visée diagnostique et thérapeutique, sans précision
H600;Abcès de l'oreille externe
H601;Cellulite phlegmoneuse de l'oreille externe
H602;Otite externe maligne
H603;Autres otites externes infectieuses
H604;Cholestéatome de l'oreille externe
H605;Otite externe aiguë, (non infectieuse)
H608;Autres otites externes
H609;Otite externe, sans précision
H610;Périchondrite de l'oreille externe
H611;Affections non infectieuses du pavillon de l'oreille
H612;Bouchon de cérumen
H613;Sténose acquise du conduit auditif externe
H618;Autres affections précisées de l'oreille externe
H619;Affection de l'oreille externe, sans précision
H620;Otite externe au cours de maladies bactériennes classées ailleurs
H621;Otite externe au cours de maladies virales classées ailleurs
H622;Otite externe au cours de mycoses
H623;Otite externe au cours d'autres maladies infectieuses et parasitaires classées ailleurs
H624;Otite externe au cours d'autres maladies classées ailleurs
H628;Autres affections de l'oreille externe au cours de maladies classées ailleurs
H650;Otite moyenne séreuse aiguë
H651;Autres otites moyennes aiguës, non suppurées
H652;Otite moyenne séreuse chronique
H653;Otite moyenne mucoïde chronique
H654;Autres otites moyennes chroniques, non suppurées
H659;Otite moyenne non suppurée, sans précision
H660;Otite moyenne aiguë suppurée
H661;Otite moyenne suppurée chronique tubo-tympanique
H662;Otite moyenne chronique attico-antrale suppurée
H663;Autres otites moyennes suppurées chroniques
H664;Otite moyenne suppurée, sans précision
H669;Otite moyenne, sans précision
H670;Otite moyenne au cours de maladies bactériennes classées ailleurs
H671;Otite moyenne au cours de maladies virales classées ailleurs
H678;Otite moyenne au cours d'autres maladies classées ailleurs
H680;Salpingite de la trompe d'Eustache
H681;Obstruction de la trompe d'Eustache
H690;Distension de la trompe d'Eustache
H698;Autres affections précisées de la trompe d'Eustache
H699;Affection de la trompe d'Eustache, sans précision
H700;Mastoïdite aiguë
H701;Mastoïdite chronique
H702;Apexite [pétrosite]
H708;Autres mastoïdites et affections apparentées
H709;Mastoïdite, sans précision
H71;Cholestéatome de l'oreille moyenne
H720;Perforation centrale du tympan
H721;Perforation du tympan, partie attique
H722;Autres perforations marginales du tympan
H728;Autres perforations du tympan
H729;Perforation du tympan, sans précision
H730;Myringite [tympanite] aiguë
H731;Myringite chronique
H738;Autres affections précisées du tympan
H739;Affection du tympan, sans précision
H740;Tympanosclérose
H741;Maladie adhésive de l'oreille moyenne
H742;Dissociation et dislocation des osselets
H743;Autres anomalies acquises des osselets
H744;Polype de l'oreille moyenne
H748;Autres affections précisées de l'oreille moyenne et de l'apophyse mastoïde
H749;Affection de l'oreille moyenne et de l'apophyse mastoïde, sans précision
H750;Mastoïdite au cours de maladies infectieuses et parasitaires classées ailleurs
H758;Autres affections précisées de l'oreille moyenne et de l'apophyse mastoïde au cours de maladies classées ailleurs
H800;Otosclérose intéressant la fenêtre ovale, non oblitérante
H801;Otosclérose intéressant la fenêtre ovale, oblitérante
H802;Otosclérose cochléaire
H808;Autres otoscléroses
H809;Otosclérose, sans précision
H810;Maladie de Ménière
H811;Vertige bénin paroxystique
H812;Neuronite vestibulaire
H813;Autres vertiges périphériques
H814;Vertige d'origine centrale
H818;Autres atteintes des fonctions vestibulaires
H819;Atteinte des fonctions vestibulaires, sans précision
H82;Syndromes vertigineux au cours de maladies classées ailleurs
H830;Labyrinthite
H831;Fistule labyrinthique
H832;Troubles des fonctions labyrinthiques
H833;Conséquences du bruit sur l'oreille interne
